days,opening,clossing,ROP,smax,SL,Demand,EOQ
,,,,,,,
1,2593.373152,2436.746304,940.3239888,6000,104.4804432,156.6268478,2700.555332
,,,,,,,
2,2501.287523,2409.201894,940.3239888,6000,104.4804432,92.085629,606.2073238
,,,,,,,
3,2399.563421,2297.839319,940.3239888,6000,104.4804432,101.724102,986.0196065
,,,,,,,
4,2307.183429,2214.803436,940.3239888,6000,104.4804432,92.37999259,1204.486154
,,,,,,,
5,2269.821844,2232.46026,940.3239888,6000,104.4804432,37.36158411,835.1012466
,,,,,,,
6,2181.013097,2092.204349,940.3239888,6000,104.4804432,88.80874783,1069.086302
,,,,,,,
7,2120.803269,2060.593442,940.3239888,6000,104.4804432,60.20982724,870.3992314
,,,,,,,
8,2004.444668,1888.086067,940.3239888,6000,104.4804432,116.3586012,1118.813177
,,,,,,,
9,1900.447703,1796.450737,940.3239888,6000,104.4804432,103.9969656,885.9669835
,,,,,,,
10,1790.475088,1680.502473,940.3239888,6000,104.4804432,109.972615,1143.152654
,,,,,,,
11,1733.454638,1676.434187,940.3239888,6000,104.4804432,57.0204501,1060.008082
,,,,,,,
12,1687.96874,1642.482842,940.3239888,6000,104.4804432,45.48589782,1177.352094
,,,,,,,
13,1622.438628,1556.908516,940.3239888,6000,104.4804432,65.53011207,1054.982531
,,,,,,,
14,1593.815926,1565.193225,940.3239888,6000,104.4804432,28.62270148,905.3734881
,,,,,,,
15,1511.605706,1429.395486,940.3239888,6000,104.4804432,82.21022005,944.8690104
,,,,,,,
16,1449.724586,1387.843466,940.3239888,6000,104.4804432,61.88112033,817.1009896
,,,,,,,
17,4098.792676,4047.305435,940.3239888,6000,104.4804432,51.48724138,1008.826268
,,,,,,,
18,4062.258026,4025.723375,940.3239888,6000,104.4804432,36.53465056,1098.63827
,,,,,,,
19,3866.473029,3670.688032,940.3239888,6000,104.4804432,195.7849967,1042.285615
,,,,,,,
20,3775.552994,3684.632959,940.3239888,6000,104.4804432,90.92003508,983.0287103
,,,,,,,
21,3665.252895,3554.952795,940.3239888,6000,104.4804432,110.3000992,
,,,,,,,
22,3485.689685,3306.126475,940.3239888,6000,104.4804432,179.56321,
,,,,,,,
23,3378.106209,3270.522733,940.3239888,6000,104.4804432,107.5834757,
,,,,,,,
24,3308.756793,3239.407376,940.3239888,6000,104.4804432,69.34941626,
,,,,,,,
25,3235.675793,3162.594792,940.3239888,6000,104.4804432,73.08100012,
,,,,,,,
26,3718.980394,3596.077671,940.3239888,6000,104.4804432,122.9027228,
,,,,,,,
27,3633.535503,3548.090612,940.3239888,6000,104.4804432,85.44489094,
,,,,,,,
28,3527.189029,3420.842556,940.3239888,6000,104.4804432,106.3464732,
,,,,,,,
29,3317.452478,3107.715926,940.3239888,6000,104.4804432,209.7365517,
,,,,,,,
30,3156.565191,2995.677904,940.3239888,6000,104.4804432,160.8872868,
,,,,,,,
31,3083.133985,3009.702778,940.3239888,6000,104.4804432,73.43120648,
,,,,,,,
32,2967.693174,2852.252363,940.3239888,6000,104.4804432,115.4408106,
,,,,,,,
33,2699.304345,2430.915515,940.3239888,6000,104.4804432,268.3888292,
,,,,,,,
34,2559.643727,2419.98311,940.3239888,6000,104.4804432,139.6606174,
,,,,,,,
35,3500.513846,3455.364358,940.3239888,6000,104.4804432,45.14948771,
,,,,,,,
36,3365.039176,3229.564505,940.3239888,6000,104.4804432,135.4746706,
,,,,,,,
37,3288.648407,3212.257639,940.3239888,6000,104.4804432,76.3907682,
,,,,,,,
38,3172.388723,3056.129039,940.3239888,6000,104.4804432,116.2596843,
,,,,,,,
39,3091.747708,3011.106693,940.3239888,6000,104.4804432,80.64101497,
,,,,,,,
40,2998.928604,2906.109501,940.3239888,6000,104.4804432,92.81910355,
,,,,,,,
